,lat,lon,Department,City,bedrooms,bathrooms,surface_total,surface_covered,price,property_type,P/sqmtr
5041,6.149,-75.384,Antioquia,Rionegro,4.0,3.0,128.0,87.0,440000000.0,Casa,3437500.0
5042,4.711,-74.055,Cundinamarca,Bogotá D.C,3.0,3.0,81.0,130.0,590000000.0,Casa,7283950.0
5043,4.663,-74.05,Cundinamarca,Bogotá D.C,2.0,3.0,117.0,117.0,730000000.0,Apartamento,6239316.0
5047,4.647,-74.083,Cundinamarca,Bogotá D.C,3.0,3.0,140.0,140.0,440000000.0,Apartamento,3142857.0
5049,3.378,-76.526,Valle del Cauca,Cali,5.0,4.0,157.0,390.0,470000000.0,Casa,2993630.0
5050,3.336,-76.536,Valle del Cauca,Cali,3.0,4.0,371.0,300.0,980000000.0,Casa,2641509.0
5051,4.87,-74.062,Cundinamarca,Chía,4.0,4.0,200.0,192.0,455000000.0,Casa,2275000.0
5052,7.604,-72.601,Norte de Santander,Chinácota,7.0,4.0,1000.0,420.0,400000000.0,Casa,400000.0
5053,11.016,-74.823,Atlántico,Barranquilla,3.0,4.0,175.0,175.0,740000000.0,Apartamento,4228571.0
5054,10.984,-74.787,Atlántico,Barranquilla,5.0,4.0,445.0,445.0,900000000.0,Casa,2022471.0
5055,4.675,-74.107,Cundinamarca,Bogotá D.C,3.0,4.0,75.0,155.0,600000000.0,Casa,8000000.0
5056,3.42,-76.539,Valle del Cauca,Cali,4.0,4.0,110.0,110.0,240000000.0,Apartamento,2181818.0
5062,3.362,-76.529,Valle del Cauca,Cali,3.0,5.0,224.0,208.0,710000000.0,Casa,3169642.0
5063,3.26,-76.539,Valle del Cauca,Jamundí,4.0,5.0,96.0,260.0,380000000.0,Casa,3958333.0
5064,4.862,-74.053,Cundinamarca,Chía,4.0,5.0,820.0,344.0,1000000000.0,Casa,1219512.0
5066,4.721,-74.036,Cundinamarca,Bogotá D.C,1.0,2.0,47.0,47.0,325000000.0,Apartamento,6914893.0
5067,3.406,-76.533,Valle del Cauca,Cali,2.0,2.0,70.0,70.0,210000000.0,Apartamento,3000000.0
5068,6.173,-75.569,Antioquia,Envigado,2.0,2.0,74.0,74.0,405000000.0,Apartamento,5472972.0
5069,4.688,-74.039,Cundinamarca,Bogotá D.C,2.0,2.0,96.0,96.0,399000000.0,Apartamento,4156250.0
5070,4.737,-74.058,Cundinamarca,Bogotá D.C,2.0,2.0,65.0,65.0,265000000.0,Apartamento,4076923.0
5071,4.639,-74.063,Cundinamarca,Bogotá D.C,2.0,2.0,91.0,92.0,350000000.0,Apartamento,3846153.0
5072,4.685,-74.044,Cundinamarca,Bogotá D.C,2.0,3.0,76.0,76.0,460000000.0,Apartamento,6052631.0
5073,4.525,-75.71,Quindío,Armenia,3.0,1.0,45.0,90.0,95000000.0,Casa,2111111.0
5074,7.834,-72.506,Norte de Santander,Los Patios,3.0,1.0,132.0,61.0,80000000.0,Casa,606060.0
5075,6.19,-75.6,Antioquia,Itagui,3.0,1.0,53.0,53.0,175000000.0,Apartamento,3301886.0
5076,4.716,-74.062,Cundinamarca,Bogotá D.C,3.0,1.0,55.0,55.0,220000000.0,Apartamento,4000000.0
5078,6.336,-75.55,Antioquia,Bello,3.0,2.0,65.0,65.0,237000000.0,Apartamento,3646153.0
5079,4.923,-74.012,Cundinamarca,Cajicá,3.0,2.0,73.0,71.0,285000000.0,Apartamento,3904109.0
5080,4.921,-74.025,Cundinamarca,Cajicá,3.0,2.0,74.0,74.0,280000000.0,Apartamento,3783783.0
5081,6.377,-75.447,Antioquia,Girardota,3.0,2.0,88.0,88.0,270000000.0,Apartamento,3068181.0
5084,4.696,-74.078,Cundinamarca,Bogotá D.C,3.0,2.0,76.0,76.0,315000000.0,Apartamento,4144736.0
5085,11.017,-74.805,Atlántico,Barranquilla,3.0,2.0,70.0,70.0,234000000.0,Apartamento,3342857.0
5086,3.361,-76.534,Valle del Cauca,Cali,3.0,3.0,100.0,140.0,485000000.0,Casa,4850000.0
5089,4.547,-75.663,Quindío,Armenia,3.0,3.0,163.0,163.0,240000000.0,Apartamento,1472392.0
5090,4.722,-74.031,Cundinamarca,Bogotá D.C,3.0,3.0,103.0,103.0,690000000.0,Apartamento,6699029.0
5091,4.719,-74.076,Cundinamarca,Bogotá D.C,3.0,3.0,153.0,148.0,600000000.0,Apartamento,3921568.0
5093,4.696,-74.043,Cundinamarca,Bogotá D.C,3.0,3.0,135.0,80.0,600000000.0,Apartamento,4444444.0
5094,4.691,-74.055,Cundinamarca,Bogotá D.C,3.0,3.0,134.0,134.0,890000000.0,Apartamento,6641791.0
